prefix,thld_delta,thld_max,instance,tau_star_val,succ_trials,total_trials,Ps_hat,TTS_at_tau_star
kRkX_n12,0.004,28.0,27,72,0,200,0.0,inf
kRkX_n12,0.004,28.0,28,72,3,200,0.015,21938.613162391608
kRkX_n12,0.004,28.0,29,72,0,200,0.0,inf
kRkX_n12,0.004,28.0,30,72,2,200,0.01,32991.161511843966
kRkX_n12,0.004,28.0,31,72,3,200,0.015,21938.613162391608
kRkX_n12,0.004,28.0,32,72,3,200,0.015,21938.613162391608
kRkX_n12,0.004,28.0,33,72,0,200,0.0,inf
kRkX_n12,0.004,28.0,34,72,0,200,0.0,inf
kRkX_n12,0.004,28.0,35,72,1,200,0.005,66148.52604994191
kRkX_n12,0.004,28.0,36,72,0,200,0.0,inf
kRkX_n12,0.004,28.0,37,72,5,200,0.025,13096.404459536485
kRkX_n12,0.004,28.0,38,72,4,200,0.02,16412.268325226312
kRkX_n12,0.004,28.0,39,72,0,200,0.0,inf
kRkX_n12,0.004,28.0,40,72,4,200,0.02,16412.268325226312
kRkX_n12,0.004,28.0,41,72,9,200,0.045,7201.213974799562
kRkX_n12,0.004,28.0,42,72,7,200,0.035,9306.722432863911
kRkX_n12,0.004,28.0,43,72,0,200,0.0,inf
kRkX_n12,0.004,28.0,44,72,0,200,0.0,inf
kRkX_n12,0.004,28.0,45,72,4,200,0.02,16412.268325226312
kRkX_n12,0.004,28.0,46,72,0,200,0.0,inf
kRkX_n12,0.004,28.0,47,72,6,200,0.03,10885.780713684086
kRkX_n12,0.004,28.0,48,72,0,200,0.0,inf
kRkX_n12,0.004,28.0,49,72,0,200,0.0,inf
kRkX_n12,0.004,28.0,50,72,0,200,0.0,inf
kRkX_n12,0.004,28.0,51,72,1,200,0.005,66148.52604994191
kRkX_n12,0.004,28.0,52,72,0,200,0.0,inf
kRkX_n12,0.004,28.0,53,72,1,200,0.005,66148.52604994191
kRkX_n12,0.004,28.0,54,72,4,200,0.02,16412.268325226312
kRkX_n12,0.004,28.0,55,72,5,200,0.025,13096.404459536485
kRkX_n12,0.004,28.0,56,72,7,200,0.035,9306.722432863911
kRkX_n12,0.004,28.0,57,72,4,200,0.02,16412.268325226312
kRkX_n12,0.004,28.0,58,72,0,200,0.0,inf
kRkX_n12,0.004,28.0,59,72,2,200,0.01,32991.161511843966
kRkX_n12,0.004,28.0,60,72,3,200,0.015,21938.613162391608
kRkX_n12,0.004,28.0,61,72,6,200,0.03,10885.780713684086
kRkX_n12,0.004,28.0,62,72,12,200,0.06,5358.708524987236
kRkX_n12,0.004,28.0,63,72,1,200,0.005,66148.52604994191
kRkX_n12,0.004,28.0,64,72,0,200,0.0,inf
kRkX_n12,0.004,28.0,65,72,0,200,0.0,inf
kRkX_n12,0.004,28.0,66,72,1,200,0.005,66148.52604994191
kRkX_n12,0.004,28.0,67,72,0,200,0.0,inf
kRkX_n12,0.004,28.0,68,72,1,200,0.005,66148.52604994191
kRkX_n12,0.004,28.0,69,72,1,200,0.005,66148.52604994191
kRkX_n12,0.004,28.0,70,72,4,200,0.02,16412.268325226312
kRkX_n12,0.004,28.0,71,72,3,200,0.015,21938.613162391608
kRkX_n12,0.004,28.0,72,72,3,200,0.015,21938.613162391608
kRkX_n12,0.004,28.0,73,72,5,200,0.025,13096.404459536485
kRkX_n12,0.004,28.0,74,72,11,200,0.055,5861.237285385544
kRkX_n12,0.004,28.0,75,72,1,200,0.005,66148.52604994191
kRkX_n12,0.004,28.0,76,72,5,200,0.025,13096.404459536485
kRkX_n12,0.004,28.0,77,72,6,200,0.03,10885.780713684086
kRkX_n12,0.004,28.0,78,72,0,200,0.0,inf
kRkX_n12,0.004,28.0,79,72,5,200,0.025,13096.404459536485
