prefix,thld_delta,thld_max,instance,tau_star_val,succ_trials,total_trials,Ps_hat,TTS_at_tau_star
3R3X_n112,0.0003,20.0,74,44044,33,200,0.165,1124812.1003870205
3R3X_n112,0.0003,20.0,75,44044,20,200,0.1,1925105.5711456465
3R3X_n112,0.0003,20.0,76,44044,32,200,0.16,1163327.6473329165
3R3X_n112,0.0003,20.0,77,44044,12,200,0.06,3278041.0871463586
3R3X_n112,0.0003,20.0,78,44044,16,200,0.08,2432552.1928932923
3R3X_n112,0.0003,20.0,79,44044,0,200,0.0,inf
3R3X_n112,0.0003,20.0,80,44044,14,200,0.07,2794931.504006485
3R3X_n112,0.0003,20.0,81,44044,0,200,0.0,inf
3R3X_n112,0.0003,20.0,82,44044,18,200,0.09,2150659.043162865
3R3X_n112,0.0003,20.0,83,44044,7,200,0.035,5693128.928236919
3R3X_n112,0.0003,20.0,84,44044,30,200,0.15,1248039.9440142536
3R3X_n112,0.0003,20.0,85,44044,18,200,0.09,2150659.043162865
3R3X_n112,0.0003,20.0,86,44044,39,200,0.195,935075.8793138232
3R3X_n112,0.0003,20.0,87,44044,44,199,0.2211055276381909,811711.032693153
3R3X_n112,0.0003,20.0,88,44044,25,200,0.125,1518969.5223354567
3R3X_n112,0.0003,20.0,89,44044,23,200,0.115,1660260.6522974954
3R3X_n112,0.0003,20.0,90,44044,31,200,0.155,1204320.9805724137
3R3X_n112,0.0003,20.0,91,44044,17,200,0.085,2283320.324109832
3R3X_n112,0.0003,20.0,92,44044,26,199,0.1306532663316583,1448649.640774883
3R3X_n112,0.0003,20.0,93,44044,21,200,0.105,1828425.692187575
3R3X_n112,0.0003,20.0,94,44044,0,200,0.0,inf
3R3X_n112,0.0003,20.0,95,44044,0,200,0.0,inf
3R3X_n112,0.0003,20.0,96,44044,0,200,0.0,inf
3R3X_n112,0.0003,20.0,97,44044,0,200,0.0,inf
3R3X_n112,0.0003,20.0,98,44044,0,200,0.0,inf
3R3X_n112,0.0003,20.0,99,44044,0,200,0.0,inf
3R3X_n112,0.0003,20.0,100,44044,0,200,0.0,inf
3R3X_n112,0.0004,20.0,1,27212,0,200,0.0,inf
3R3X_n112,0.0004,20.0,2,27212,0,200,0.0,inf
3R3X_n112,0.0004,20.0,3,27212,0,200,0.0,inf
3R3X_n112,0.0004,20.0,4,27212,21,200,0.105,1129668.511847432
3R3X_n112,0.0004,20.0,5,27212,0,200,0.0,inf
3R3X_n112,0.0004,20.0,6,27212,7,200,0.035,3517424.0394874
3R3X_n112,0.0004,20.0,7,27212,21,200,0.105,1129668.511847432
3R3X_n112,0.0004,20.0,8,27212,0,200,0.0,inf
3R3X_n112,0.0004,20.0,9,27212,9,200,0.045,2721658.81503119
3R3X_n112,0.0004,20.0,10,27212,0,200,0.0,inf
3R3X_n112,0.0004,20.0,11,27212,0,200,0.0,inf
3R3X_n112,0.0004,20.0,12,27212,13,200,0.065,1864577.033090097
3R3X_n112,0.0004,20.0,13,27212,15,200,0.075,1607406.5332558025
3R3X_n112,0.0004,20.0,14,27212,13,200,0.065,1864577.033090097
3R3X_n112,0.0004,20.0,15,27212,0,200,0.0,inf
3R3X_n112,0.0004,20.0,16,27212,18,200,0.09,1328756.1048621354
3R3X_n112,0.0004,20.0,17,27212,0,200,0.0,inf
3R3X_n112,0.0004,20.0,18,27212,34,200,0.17,672549.6419699886
3R3X_n112,0.0004,20.0,19,27212,9,200,0.045,2721658.81503119
3R3X_n112,0.0004,20.0,20,27212,13,200,0.065,1864577.033090097
3R3X_n112,0.0004,20.0,21,27212,0,200,0.0,inf
3R3X_n112,0.0004,20.0,22,27212,12,200,0.06,2025294.116416009
3R3X_n112,0.0004,20.0,23,27212,0,200,0.0,inf
3R3X_n112,0.0004,20.0,24,27212,14,200,0.07,1726811.281605315
3R3X_n112,0.0004,20.0,25,27212,0,200,0.0,inf
3R3X_n112,0.0004,20.0,26,27212,17,200,0.085,1410719.114060411
3R3X_n112,0.0004,20.0,27,27212,0,200,0.0,inf
3R3X_n112,0.0004,20.0,28,27212,21,200,0.105,1129668.511847432
3R3X_n112,0.0004,20.0,29,27212,0,200,0.0,inf
3R3X_n112,0.0004,20.0,30,27212,0,200,0.0,inf
3R3X_n112,0.0004,20.0,31,27212,0,200,0.0,inf
